ConfidenceRecord,PaymentRecord,NameConfidence,AmountConfidence,max,min
urn:cite:phoros:conflevel.144,urn:cite:phoros:payrec.144,,,,
urn:cite:phoros:conflevel.145,urn:cite:phoros:payrec.145,,,,
urn:cite:phoros:conflevel.146,urn:cite:phoros:payrec.146,,,,
urn:cite:phoros:conflevel.147,urn:cite:phoros:payrec.147,,,,
urn:cite:phoros:conflevel.148,urn:cite:phoros:payrec.148,,,,
urn:cite:phoros:conflevel.149,urn:cite:phoros:payrec.149,,,,
urn:cite:phoros:conflevel.150,urn:cite:phoros:payrec.150,,,,
urn:cite:phoros:conflevel.151,urn:cite:phoros:payrec.151,,,,
urn:cite:phoros:conflevel.152,urn:cite:phoros:payrec.152,,,,
urn:cite:phoros:conflevel.153,urn:cite:phoros:payrec.153,,,,
urn:cite:phoros:conflevel.154,urn:cite:phoros:payrec.154,,,,
urn:cite:phoros:conflevel.155,urn:cite:phoros:payrec.155,,,,
urn:cite:phoros:conflevel.156,urn:cite:phoros:payrec.156,,,,
urn:cite:phoros:conflevel.157,urn:cite:phoros:payrec.157,,,,
urn:cite:phoros:conflevel.158,urn:cite:phoros:payrec.158,,,,
urn:cite:phoros:conflevel.159,urn:cite:phoros:payrec.159,,,,
urn:cite:phoros:conflevel.160,urn:cite:phoros:payrec.160,,,,
urn:cite:phoros:conflevel.161,urn:cite:phoros:payrec.161,,,,
urn:cite:phoros:conflevel.162,urn:cite:phoros:payrec.162,,,,
urn:cite:phoros:conflevel.163,urn:cite:phoros:payrec.163,,,,
urn:cite:phoros:conflevel.164,urn:cite:phoros:payrec.164,,,,
urn:cite:phoros:conflevel.165,urn:cite:phoros:payrec.165,,,,
urn:cite:phoros:conflevel.166,urn:cite:phoros:payrec.166,,,,
urn:cite:phoros:conflevel.167,urn:cite:phoros:payrec.167,,,,
urn:cite:phoros:conflevel.168,urn:cite:phoros:payrec.168,,,,
urn:cite:phoros:conflevel.169,urn:cite:phoros:payrec.169,,,,
urn:cite:phoros:conflevel.170,urn:cite:phoros:payrec.170,,,,
urn:cite:phoros:conflevel.171,urn:cite:phoros:payrec.171,,,,
urn:cite:phoros:conflevel.172,urn:cite:phoros:payrec.172,,,,
urn:cite:phoros:conflevel.173,urn:cite:phoros:payrec.173,,,,
urn:cite:phoros:conflevel.174,urn:cite:phoros:payrec.174,,,,
urn:cite:phoros:conflevel.175,urn:cite:phoros:payrec.175,,,,
urn:cite:phoros:conflevel.176,urn:cite:phoros:payrec.176,,,,
urn:cite:phoros:conflevel.177,urn:cite:phoros:payrec.177,,,,
urn:cite:phoros:conflevel.178,urn:cite:phoros:payrec.178,,,,
urn:cite:phoros:conflevel.179,urn:cite:phoros:payrec.179,,,,
urn:cite:phoros:conflevel.180,urn:cite:phoros:payrec.180,,,,
urn:cite:phoros:conflevel.181,urn:cite:phoros:payrec.181,,,,
urn:cite:phoros:conflevel.182,urn:cite:phoros:payrec.182,,,,
urn:cite:phoros:conflevel.183,urn:cite:phoros:payrec.183,,,,
urn:cite:phoros:conflevel.184,urn:cite:phoros:payrec.184,,,,
urn:cite:phoros:conflevel.185,urn:cite:phoros:payrec.185,,,,
urn:cite:phoros:conflevel.186,urn:cite:phoros:payrec.186,,,,
urn:cite:phoros:conflevel.187,urn:cite:phoros:payrec.187,,,,
urn:cite:phoros:conflevel.188,urn:cite:phoros:payrec.188,,,,
urn:cite:phoros:conflevel.189,urn:cite:phoros:payrec.189,,,,
urn:cite:phoros:conflevel.190,urn:cite:phoros:payrec.190,,,,
urn:cite:phoros:conflevel.191,urn:cite:phoros:payrec.191,,,,
urn:cite:phoros:conflevel.192,urn:cite:phoros:payrec.192,,,,
