Urn,State,Seq
urn:cite:phoros:seqcommon.132,urn:cite:phoros:places.93,132
urn:cite:phoros:seqcommon.133,urn:cite:phoros:places.94,133
urn:cite:phoros:seqcommon.134,urn:cite:phoros:places.95,134
urn:cite:phoros:seqcommon.135,urn:cite:phoros:places.160,135
urn:cite:phoros:seqcommon.136,urn:cite:phoros:places.155,136
urn:cite:phoros:seqcommon.137,urn:cite:phoros:places.76,137
urn:cite:phoros:seqcommon.138,urn:cite:phoros:places.44,138
urn:cite:phoros:seqcommon.139,urn:cite:phoros:places.151,139
urn:cite:phoros:seqcommon.140,urn:cite:phoros:places.34,140
urn:cite:phoros:seqcommon.141,urn:cite:phoros:places.34,141
urn:cite:phoros:seqcommon.142,urn:cite:phoros:places.175,142
urn:cite:phoros:seqcommon.143,urn:cite:phoros:places.128,143
urn:cite:phoros:seqcommon.144,urn:cite:phoros:places.133,144
urn:cite:phoros:seqcommon.145,urn:cite:phoros:places.58,145
urn:cite:phoros:seqcommon.146,urn:cite:phoros:places.129,146
urn:cite:phoros:seqcommon.147,urn:cite:phoros:places.50,147
urn:cite:phoros:seqcommon.148,urn:cite:phoros:places.83,148
urn:cite:phoros:seqcommon.149,urn:cite:phoros:places.26,149
urn:cite:phoros:seqcommon.150,urn:cite:phoros:places.131,150
urn:cite:phoros:seqcommon.151,urn:cite:phoros:places.132,151
urn:cite:phoros:seqcommon.152,urn:cite:phoros:places.133,152
urn:cite:phoros:seqcommon.153,urn:cite:phoros:places.134,153
urn:cite:phoros:seqcommon.154,urn:cite:phoros:places.135,154
urn:cite:phoros:seqcommon.155,urn:cite:phoros:places.136,155
urn:cite:phoros:seqcommon.156,urn:cite:phoros:places.137,156
urn:cite:phoros:seqcommon.157,urn:cite:phoros:places.138,157
urn:cite:phoros:seqcommon.158,urn:cite:phoros:places.80,158
urn:cite:phoros:seqcommon.159,urn:cite:phoros:places.8,159
urn:cite:phoros:seqcommon.160,urn:cite:phoros:places.8,160
urn:cite:phoros:seqcommon.161,urn:cite:phoros:places.6,161
urn:cite:phoros:seqcommon.162,urn:cite:phoros:places.48,162
urn:cite:phoros:seqcommon.163,urn:cite:phoros:places.23,163
urn:cite:phoros:seqcommon.164,urn:cite:phoros:places.24,164
urn:cite:phoros:seqcommon.165,urn:cite:phoros:places.25,165
urn:cite:phoros:seqcommon.166,urn:cite:phoros:places.17,166
urn:cite:phoros:seqcommon.167,urn:cite:phoros:places.4,167
urn:cite:phoros:seqcommon.168,urn:cite:phoros:places.77,168
urn:cite:phoros:seqcommon.169,urn:cite:phoros:places.174,169
urn:cite:phoros:seqcommon.170,urn:cite:phoros:places.182,170
urn:cite:phoros:seqcommon.171,urn:cite:phoros:places.162,171
urn:cite:phoros:seqcommon.172,urn:cite:phoros:places.43,172
urn:cite:phoros:seqcommon.173,urn:cite:phoros:places.43,173
urn:cite:phoros:seqcommon.174,urn:cite:phoros:places.5,174
urn:cite:phoros:seqcommon.175,urn:cite:phoros:places.96,175
urn:cite:phoros:seqcommon.176,urn:cite:phoros:places.76,176
urn:cite:phoros:seqcommon.177,urn:cite:phoros:places.110,177
urn:cite:phoros:seqcommon.178,urn:cite:phoros:places.6,178
urn:cite:phoros:seqcommon.179,urn:cite:phoros:places.163,179
urn:cite:phoros:seqcommon.180,urn:cite:phoros:places.83,180
urn:cite:phoros:seqcommon.181,urn:cite:phoros:places.6,181
urn:cite:phoros:seqcommon.182,urn:cite:phoros:places.50,182
urn:cite:phoros:seqcommon.183,urn:cite:phoros:places.71,183
urn:cite:phoros:seqcommon.184,urn:cite:phoros:places.173,184
urn:cite:phoros:seqcommon.185,urn:cite:phoros:places.156,185
urn:cite:phoros:seqcommon.186,urn:cite:phoros:places.46,186
urn:cite:phoros:seqcommon.187,urn:cite:phoros:places.152,187
urn:cite:phoros:seqcommon.188,urn:cite:phoros:places.148,188
urn:cite:phoros:seqcommon.189,urn:cite:phoros:places.153,189
urn:cite:phoros:seqcommon.190,urn:cite:phoros:places.176,190
urn:cite:phoros:seqcommon.191,urn:cite:phoros:places.20,191
urn:cite:phoros:seqcommon.192,urn:cite:phoros:places.99,192
urn:cite:phoros:seqcommon.193,urn:cite:phoros:places.60,193
urn:cite:phoros:seqcommon.194,urn:cite:phoros:places.32,194
urn:cite:phoros:seqcommon.195,urn:cite:phoros:places.104,195
urn:cite:phoros:seqcommon.196,urn:cite:phoros:places.97,196
urn:cite:phoros:seqcommon.197,urn:cite:phoros:places.56,197
urn:cite:phoros:seqcommon.198,urn:cite:phoros:places.76,198
urn:cite:phoros:seqcommon.199,urn:cite:phoros:places.21,199
urn:cite:phoros:seqcommon.200,urn:cite:phoros:places.2,200
urn:cite:phoros:seqcommon.201,urn:cite:phoros:places.96,201
urn:cite:phoros:seqcommon.202,urn:cite:phoros:places.33,202
urn:cite:phoros:seqcommon.203,urn:cite:phoros:places.205,203
urn:cite:phoros:seqcommon.204,urn:cite:phoros:places.12,204
urn:cite:phoros:seqcommon.205,urn:cite:phoros:places.136,205
urn:cite:phoros:seqcommon.206,urn:cite:phoros:places.115,206
urn:cite:phoros:seqcommon.207,urn:cite:phoros:places.159,207
urn:cite:phoros:seqcommon.208,urn:cite:phoros:places.198,208
urn:cite:phoros:seqcommon.209,urn:cite:phoros:places.154,209
urn:cite:phoros:seqcommon.210,urn:cite:phoros:places.177,210
urn:cite:phoros:seqcommon.211,urn:cite:phoros:places.66,211
urn:cite:phoros:seqcommon.212,urn:cite:phoros:places.212,212
urn:cite:phoros:seqcommon.213,urn:cite:phoros:places.178,213
urn:cite:phoros:seqcommon.214,urn:cite:phoros:places.60,214
urn:cite:phoros:seqcommon.215,urn:cite:phoros:places.151,215
urn:cite:phoros:seqcommon.216,urn:cite:phoros:places.131,216
urn:cite:phoros:seqcommon.217,urn:cite:phoros:places.188,217
urn:cite:phoros:seqcommon.218,urn:cite:phoros:places.157,218
urn:cite:phoros:seqcommon.219,urn:cite:phoros:places.193,219
urn:cite:phoros:seqcommon.220,urn:cite:phoros:places.213,220
urn:cite:phoros:seqcommon.221,urn:cite:phoros:places.22,221
urn:cite:phoros:seqcommon.222,urn:cite:phoros:places.194,222
urn:cite:phoros:seqcommon.223,urn:cite:phoros:places.158,223
urn:cite:phoros:seqcommon.224,urn:cite:phoros:places.101,224
urn:cite:phoros:seqcommon.225,urn:cite:phoros:places.195,225
urn:cite:phoros:seqcommon.226,urn:cite:phoros:places.121,226
urn:cite:phoros:seqcommon.227,urn:cite:phoros:places.75,227
urn:cite:phoros:seqcommon.228,urn:cite:phoros:places.139,228
urn:cite:phoros:seqcommon.229,urn:cite:phoros:places.215,229
urn:cite:phoros:seqcommon.230,urn:cite:phoros:places.30,230
urn:cite:phoros:seqcommon.231,urn:cite:phoros:places.37,231
urn:cite:phoros:seqcommon.232,urn:cite:phoros:places.116,232
urn:cite:phoros:seqcommon.233,urn:cite:phoros:places.123,233
urn:cite:phoros:seqcommon.234,urn:cite:phoros:places.35,234
urn:cite:phoros:seqcommon.235,urn:cite:phoros:places.181,235
urn:cite:phoros:seqcommon.236,urn:cite:phoros:places.95,236
urn:cite:phoros:seqcommon.237,urn:cite:phoros:places.18,237
urn:cite:phoros:seqcommon.238,urn:cite:phoros:places.160,238
urn:cite:phoros:seqcommon.239,urn:cite:phoros:places.133,239
urn:cite:phoros:seqcommon.240,urn:cite:phoros:places.61,240
urn:cite:phoros:seqcommon.241,urn:cite:phoros:places.140,241
urn:cite:phoros:seqcommon.242,urn:cite:phoros:places.94,242
urn:cite:phoros:seqcommon.243,urn:cite:phoros:places.216,243
urn:cite:phoros:seqcommon.244,urn:cite:phoros:places.19,244
urn:cite:phoros:seqcommon.245,urn:cite:phoros:places.158,245
urn:cite:phoros:seqcommon.246,urn:cite:phoros:places.212,246
urn:cite:phoros:seqcommon.247,urn:cite:phoros:places.193,247
urn:cite:phoros:seqcommon.248,urn:cite:phoros:places.107,248
urn:cite:phoros:seqcommon.249,urn:cite:phoros:places.139,249
urn:cite:phoros:seqcommon.250,urn:cite:phoros:places.139,250
urn:cite:phoros:seqcommon.251,urn:cite:phoros:places.52,251
urn:cite:phoros:seqcommon.252,urn:cite:phoros:places.5,252
urn:cite:phoros:seqcommon.253,urn:cite:phoros:places.61,253
urn:cite:phoros:seqcommon.254,urn:cite:phoros:places.117,254
urn:cite:phoros:seqcommon.255,urn:cite:phoros:places.99,255
urn:cite:phoros:seqcommon.256,urn:cite:phoros:places.119,256
urn:cite:phoros:seqcommon.257,urn:cite:phoros:places.4,257
urn:cite:phoros:seqcommon.258,urn:cite:phoros:places.199,258
urn:cite:phoros:seqcommon.259,urn:cite:phoros:places.102,259
urn:cite:phoros:seqcommon.260,urn:cite:phoros:places.14,260
urn:cite:phoros:seqcommon.261,urn:cite:phoros:places.135,261
urn:cite:phoros:seqcommon.262,urn:cite:phoros:places.206,262
urn:cite:phoros:seqcommon.263,urn:cite:phoros:places.49,263
urn:cite:phoros:seqcommon.264,urn:cite:phoros:places.90,264
urn:cite:phoros:seqcommon.265,urn:cite:phoros:places.168,265
urn:cite:phoros:seqcommon.266,urn:cite:phoros:places.25,266
urn:cite:phoros:seqcommon.267,urn:cite:phoros:places.167,267
urn:cite:phoros:seqcommon.268,urn:cite:phoros:places.15,268
urn:cite:phoros:seqcommon.269,urn:cite:phoros:places.44,269
urn:cite:phoros:seqcommon.270,urn:cite:phoros:places.52,270
urn:cite:phoros:seqcommon.271,urn:cite:phoros:places.109,271
urn:cite:phoros:seqcommon.272,urn:cite:phoros:places.174,272
urn:cite:phoros:seqcommon.273,urn:cite:phoros:places.154,273
urn:cite:phoros:seqcommon.274,urn:cite:phoros:places.55,274
urn:cite:phoros:seqcommon.275,urn:cite:phoros:places.155,275
urn:cite:phoros:seqcommon.276,urn:cite:phoros:places.11,276
urn:cite:phoros:seqcommon.277,urn:cite:phoros:places.29,277
urn:cite:phoros:seqcommon.278,urn:cite:phoros:places.24,278
urn:cite:phoros:seqcommon.279,urn:cite:phoros:places.118,279
urn:cite:phoros:seqcommon.280,urn:cite:phoros:places.47,280
urn:cite:phoros:seqcommon.281,urn:cite:phoros:places.16,281
urn:cite:phoros:seqcommon.282,urn:cite:phoros:places.125,282
urn:cite:phoros:seqcommon.283,urn:cite:phoros:places.26,283
urn:cite:phoros:seqcommon.284,urn:cite:phoros:places.83,284
urn:cite:phoros:seqcommon.285,urn:cite:phoros:places.50,285
urn:cite:phoros:seqcommon.286,urn:cite:phoros:places.39,286
urn:cite:phoros:seqcommon.287,urn:cite:phoros:places.64,287
urn:cite:phoros:seqcommon.288,urn:cite:phoros:places.128,288
urn:cite:phoros:seqcommon.289,urn:cite:phoros:places.92,289
urn:cite:phoros:seqcommon.290,urn:cite:phoros:places.56,290
urn:cite:phoros:seqcommon.291,urn:cite:phoros:places.54,291
urn:cite:phoros:seqcommon.292,urn:cite:phoros:places.112,292
urn:cite:phoros:seqcommon.293,urn:cite:phoros:places.58,293
urn:cite:phoros:seqcommon.294,urn:cite:phoros:places.207,294
urn:cite:phoros:seqcommon.295,urn:cite:phoros:places.148,295
urn:cite:phoros:seqcommon.296,urn:cite:phoros:places.127,296
urn:cite:phoros:seqcommon.297,urn:cite:phoros:places.196,297
urn:cite:phoros:seqcommon.298,urn:cite:phoros:places.160,298
urn:cite:phoros:seqcommon.299,urn:cite:phoros:places.138,299
urn:cite:phoros:seqcommon.300,urn:cite:phoros:places.153,300
urn:cite:phoros:seqcommon.301,urn:cite:phoros:places.208,301
urn:cite:phoros:seqcommon.302,urn:cite:phoros:places.138,302
urn:cite:phoros:seqcommon.303,urn:cite:phoros:places.160,303
urn:cite:phoros:seqcommon.304,urn:cite:phoros:places.103,304
urn:cite:phoros:seqcommon.305,urn:cite:phoros:places.96,305
urn:cite:phoros:seqcommon.306,urn:cite:phoros:places.93,306
urn:cite:phoros:seqcommon.307,urn:cite:phoros:places.58,307
urn:cite:phoros:seqcommon.308,urn:cite:phoros:places.59,308
urn:cite:phoros:seqcommon.309,urn:cite:phoros:places.60,309
