Payment,TextPassage,TextContent,Sequence,Year,Place,Obols,ChangeStatus,ChangeAmount
urn:cite:phoros:payrec.65,urn:cts:phoros:stele1.year1:front.5.9,ΣΕΡΜΥΛΙΕΣ,65,1,urn:cite:phoros:places.56,4632,same,0
urn:cite:phoros:payrec.66,urn:cts:phoros:stele1.year1:front.5.10,ΜΕΚΥΠΕΡ ΝΑΙΟΙ,66,1,urn:cite:phoros:places.57,,,
urn:cite:phoros:payrec.70,urn:cts:phoros:stele1.year1:front.5.13,ΣΙΝΓΙΟΙ,70,1,urn:cite:phoros:places.60,,,
urn:cite:phoros:payrec.71,urn:cts:phoros:stele1.year1:front.5.14,ΘΑΣΙΟΙ,71,1,urn:cite:phoros:places.61,1800,same,0
urn:cite:phoros:payrec.72,urn:cts:phoros:stele1.year1:front.5.15,ΜΥΣΙΟΙ,72,1,urn:cite:phoros:places.62,200,same,0
urn:cite:phoros:payrec.73,urn:cts:phoros:stele1.year1:front.5.16,ΠΙΚΡΕΣ ΣΥΑΝ ΓΕΛΕΥΣ,73,1,urn:cite:phoros:places.63,300,same,0
urn:cite:phoros:payrec.74,urn:cts:phoros:stele1.year1:front.5.17,ΚΕΔΡΙΕΤΑΙ,74,1,urn:cite:phoros:places.64,300,same,0
urn:cite:phoros:payrec.75,urn:cts:phoros:stele1.year1:front.5.18,ΚΕΡΑΜΙΟΙ,75,1,urn:cite:phoros:places.65,900,same,0
urn:cite:phoros:payrec.76,urn:cts:phoros:stele1.year1:front.5.19,ΒΟΥΘΕΙΕΣ,76,1,urn:cite:phoros:places.66,,,
urn:cite:phoros:payrec.77,urn:cts:phoros:stele1.year1:front.5.20,ΚΥΛΛΑΝΔΙΟΙ,77,1,urn:cite:phoros:places.67,1200,same,0
urn:cite:phoros:payrec.78,urn:cts:phoros:stele1.year1:front.5.21,ΧΙΟΙΚΑΡΕΣ,78,1,urn:cite:phoros:places.68,200,same,0
urn:cite:phoros:payrec.79,urn:cts:phoros:stele1.year1:front.6.5,ΝΑΡΙΣΒΑΡΕΣ,79,1,urn:cite:phoros:places.70,100,same,0
urn:cite:phoros:payrec.80,urn:cts:phoros:stele1.year1:front.6.6, ΜΥΔΟΝΕΣ,80,1,urn:cite:phoros:places.71,150,same,0
urn:cite:phoros:payrec.81,urn:cts:phoros:stele1.year1:front.6.7,ΚΙΑΝΟΙ,81,1,urn:cite:phoros:places.72,100,same,0
urn:cite:phoros:payrec.82,urn:cts:phoros:stele1.year1:front.6.7,ΑΡΤΑΚΕΝΟΙ,82,1,urn:cite:phoros:places.73,200,same,0
urn:cite:phoros:payrec.83,urn:cts:phoros:stele1.year1:front.6.9,ΝΕΑΠΟΛΙΣ,83,1,urn:cite:phoros:places.74,,,
urn:cite:phoros:payrec.84,urn:cts:phoros:stele1.year1:front.6.10,ΕΝΘΡΑΙΚΕΙ,84,1,urn:cite:phoros:places.74,100,same,0
urn:cite:phoros:payrec.85,urn:cts:phoros:stele1.year1:front.6.11,ΒΕΡΥΣΙΟΙ ΗΥΠΟ,85,1,urn:cite:phoros:places.75,,,
urn:cite:phoros:payrec.86,urn:cts:phoros:stele1.year1:front.6.12,ΤΕΙ ΙΔΕΙ,86,1,urn:cite:phoros:places.75,100,same,0
urn:cite:phoros:payrec.87,urn:cts:phoros:stele1.year1:front.6.13,ΑΥΛΙΑΤΑΙ ΚΑΡΕΣ,87,1,urn:cite:phoros:places.76,50,same,0
urn:cite:phoros:payrec.88,urn:cts:phoros:stele1.year1:front.6.14,ΙΑΤΑΙ,88,1,urn:cite:phoros:places.77,600,same,0
urn:cite:phoros:payrec.89,urn:cts:phoros:stele1.year1:front.6.15,ΠΑΡΙΑΝΟΙ,89,1,urn:cite:phoros:places.78,600,same,0
urn:cite:phoros:payrec.90,urn:cts:phoros:stele1.year1:front.6.16,ΔΑΣΚΥΛΕΙΟΝ,90,1,urn:cite:phoros:places.79,,,
urn:cite:phoros:payrec.91,urn:cts:phoros:stele1.year1:front.6.17,ΕΝΠΡΟΠΟΝΤΙΔΙ,91,1,urn:cite:phoros:places.79,50,same,0
urn:cite:phoros:payrec.92,urn:cts:phoros:stele1.year1:front.6.18,ΑΙΓΙΝΕΤΑΙ,92,1,urn:cite:phoros:places.80,3000,same,0
urn:cite:phoros:payrec.93,urn:cts:phoros:stele1.year1:front.6.19,ΜΙΛΕΣΙΟΙ,93,1,urn:cite:phoros:places.81,,,
urn:cite:phoros:payrec.94,urn:cts:phoros:stele1.year1:front.6.20,ΕΧΣ ΛΕΡΟ,94,1,urn:cite:phoros:places.81,1800,same,0
urn:cite:phoros:payrec.95,urn:cts:phoros:stele1.year1:front.6.22,ΕΚ ΤΕΙΧΙΟΣΣΕΣ,95,1,urn:cite:phoros:places.82,,,
urn:cite:phoros:payrec.96,urn:cts:phoros:stele1.year2:.1.11,ΒΟΛΒΑΙΕΣ,96,2,urn:cite:phoros:places.69,103,same,0
urn:cite:phoros:payrec.97,urn:cts:phoros:stele1.year2:.1.12,ΛΕΦΣΙΜΑΝΙΟΙ,97,2,urn:cite:phoros:places.83,103,same,0
urn:cite:phoros:payrec.98,urn:cts:phoros:stele1.year2:.1.13,ΕΡΙΝΕΣ,98,2,urn:cite:phoros:places.84,413,same,0
urn:cite:phoros:payrec.99,urn:cts:phoros:stele1.year2:.1.14,ΑΜΥΝΑΝΔΕΣ,99,2,urn:cite:phoros:places.85,305,same,0
urn:cite:phoros:payrec.100,urn:cts:phoros:stele1.year2:.1.15,ΠΑΚΤΥΕΣΙΔΥΜΕΥΣ,100,2,urn:cite:phoros:places.86,689,same,0
urn:cite:phoros:payrec.101,urn:cts:phoros:stele1.year2:.1.16,ΟΡΑΝΙΕΤΑΙ,101,2,urn:cite:phoros:places.87,103,same,0
urn:cite:phoros:payrec.102,urn:cts:phoros:stele1.year2:.1.17,ΟΛΑΙΕΣ,102,2,urn:cite:phoros:places.88,103,same,0
urn:cite:phoros:payrec.103,urn:cts:phoros:stele1.year2:.1.18,ΤΑΡΒΑΝΕΣ,103,2,urn:cite:phoros:places.89,103,same,0
urn:cite:phoros:payrec.104,urn:cts:phoros:stele1.year2:.2.2,ΚΟΔΑΠΕΣ,104,2,urn:cite:phoros:places.90,100,same,0
urn:cite:phoros:payrec.105,urn:cts:phoros:stele1.year2:.3.2,ΣΕΡΜΥΛΙΕΣ,105,2,urn:cite:phoros:places.56,,,
