Record,Year,Source,Place,Obols
urn:cite:phoros:payments.535,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.21,urn:cite:phoros:places.67,1200
urn:cite:phoros:payments.536,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.22,urn:cite:phoros:places.41,200
urn:cite:phoros:payments.537,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.23,urn:cite:phoros:places.68,200
urn:cite:phoros:payments.538,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.24,urn:cite:phoros:places.105,1800
urn:cite:phoros:payments.539,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.25,urn:cite:phoros:places.203,600
urn:cite:phoros:payments.540,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.26,urn:cite:phoros:places.48,1500
urn:cite:phoros:payments.541,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.28,urn:cite:phoros:places.32,900
urn:cite:phoros:payments.542,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.29,urn:cite:phoros:places.8,300
urn:cite:phoros:payments.543,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.30,urn:cite:phoros:places.34,600
urn:cite:phoros:payments.544,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.31,urn:cite:phoros:places.175,300
urn:cite:phoros:payments.545,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.32,,
urn:cite:phoros:payments.546,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.33,urn:cite:phoros:places.174,1800
urn:cite:phoros:payments.547,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.35,urn:cite:phoros:places.182,1800
urn:cite:phoros:payments.548,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.36,urn:cite:phoros:places.162,150
urn:cite:phoros:payments.549,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.37,urn:cite:phoros:places.43,600
urn:cite:phoros:payments.550,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.40,urn:cite:phoros:places.110,300
urn:cite:phoros:payments.551,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.41,urn:cite:phoros:places.163,50
urn:cite:phoros:payments.552,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.42,urn:cite:phoros:places.83,150
urn:cite:phoros:payments.553,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.43,urn:cite:phoros:places.6,50
urn:cite:phoros:payments.554,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.44,urn:cite:phoros:places.50,250
urn:cite:phoros:payments.555,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.45,urn:cite:phoros:places.71,150
urn:cite:phoros:payments.556,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.46,urn:cite:phoros:places.173,150
urn:cite:phoros:payments.557,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.47,urn:cite:phoros:places.156,160
urn:cite:phoros:payments.558,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.48,urn:cite:phoros:places.46,100
urn:cite:phoros:payments.559,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.49,urn:cite:phoros:places.76,50
urn:cite:phoros:payments.560,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.50,urn:cite:phoros:places.21,200
urn:cite:phoros:payments.561,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.51,urn:cite:phoros:places.2,100
urn:cite:phoros:payments.562,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.52,urn:cite:phoros:places.96,50
urn:cite:phoros:payments.563,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.53,urn:cite:phoros:places.33,6000
urn:cite:phoros:payments.564,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.54,urn:cite:phoros:places.205,200
urn:cite:phoros:payments.565,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.55,urn:cite:phoros:places.12,900
urn:cite:phoros:payments.566,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.56,urn:cite:phoros:places.115,5400
urn:cite:phoros:payments.567,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.57,urn:cite:phoros:places.159,3600
urn:cite:phoros:payments.568,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.58,urn:cite:phoros:places.198,5260
urn:cite:phoros:payments.569,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.60,urn:cite:phoros:places.154,
urn:cite:phoros:payments.570,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.61,urn:cite:phoros:places.177,
urn:cite:phoros:payments.571,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.62,urn:cite:phoros:places.66,
urn:cite:phoros:payments.572,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.63,urn:cite:phoros:places.212,
urn:cite:phoros:payments.573,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.64,urn:cite:phoros:places.178,
urn:cite:phoros:payments.574,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.65,urn:cite:phoros:places.60,1200
urn:cite:phoros:payments.575,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.66,urn:cite:phoros:places.151,100
urn:cite:phoros:payments.576,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.67,urn:cite:phoros:places.131,100
urn:cite:phoros:payments.577,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.68,urn:cite:phoros:places.188,50
urn:cite:phoros:payments.578,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.69,urn:cite:phoros:places.157,150
urn:cite:phoros:payments.579,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.70,urn:cite:phoros:places.193,100
urn:cite:phoros:payments.580,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.71,urn:cite:phoros:places.213,30
urn:cite:phoros:payments.581,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.72,urn:cite:phoros:places.22,1800
urn:cite:phoros:payments.582,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.73,urn:cite:phoros:places.194,1800
urn:cite:phoros:payments.583,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.74,urn:cite:phoros:places.158,600
urn:cite:phoros:payments.584,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.75,urn:cite:phoros:places.101,600
urn:cite:phoros:payments.585,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.76,urn:cite:phoros:places.195,600
urn:cite:phoros:payments.586,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.77,urn:cite:phoros:places.121,200
urn:cite:phoros:payments.587,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.78,urn:cite:phoros:places.75,100
urn:cite:phoros:payments.588,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.80,urn:cite:phoros:places.215,3000
urn:cite:phoros:payments.589,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.81,urn:cite:phoros:places.30,300
urn:cite:phoros:payments.590,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.82,urn:cite:phoros:places.37,100
urn:cite:phoros:payments.591,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.83,urn:cite:phoros:places.116,100
urn:cite:phoros:payments.592,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.84,urn:cite:phoros:places.123,100
urn:cite:phoros:payments.593,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.85,urn:cite:phoros:places.35,600
urn:cite:phoros:payments.594,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.93,urn:cite:phoros:places.133,324
urn:cite:phoros:payments.595,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.94,urn:cite:phoros:places.61,324
urn:cite:phoros:payments.596,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.95,urn:cite:phoros:places.140,432
urn:cite:phoros:payments.597,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.96,urn:cite:phoros:places.94,216
urn:cite:phoros:payments.598,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.97,urn:cite:phoros:places.216,200
urn:cite:phoros:payments.599,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.98,urn:cite:phoros:places.19,
urn:cite:phoros:payments.600,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.99,urn:cite:phoros:places.158,324
urn:cite:phoros:payments.601,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.100,urn:cite:phoros:places.212,300
urn:cite:phoros:payments.602,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.101,urn:cite:phoros:places.193,24
urn:cite:phoros:payments.603,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.102,urn:cite:phoros:places.107,324
urn:cite:phoros:payments.604,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.103,urn:cite:phoros:places.139,2880
urn:cite:phoros:payments.605,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.104,urn:cite:phoros:places.139,2384
urn:cite:phoros:payments.606,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.105,urn:cite:phoros:places.52,600
urn:cite:phoros:payments.607,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.106,urn:cite:phoros:places.5,855.5
urn:cite:phoros:payments.608,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.108,urn:cite:phoros:places.117,6000
urn:cite:phoros:payments.609,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.109,urn:cite:phoros:places.99,600
urn:cite:phoros:payments.610,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.110,urn:cite:phoros:places.119,600
urn:cite:phoros:payments.611,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.111,urn:cite:phoros:places.4,4500
urn:cite:phoros:payments.612,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.112,urn:cite:phoros:places.199,600
urn:cite:phoros:payments.613,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.1.113,urn:cite:phoros:places.102,600
urn:cite:phoros:payments.614,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.6,urn:cite:phoros:places.14,600
urn:cite:phoros:payments.615,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.7,urn:cite:phoros:places.135,100
urn:cite:phoros:payments.616,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.8,urn:cite:phoros:places.206,50
urn:cite:phoros:payments.617,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.9,urn:cite:phoros:places.49,1800
urn:cite:phoros:payments.618,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.10,,
urn:cite:phoros:payments.619,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.11,urn:cite:phoros:places.90,100
urn:cite:phoros:payments.620,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.12,urn:cite:phoros:places.168,40
urn:cite:phoros:payments.621,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.13,urn:cite:phoros:places.25,100
urn:cite:phoros:payments.622,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.14,urn:cite:phoros:places.167,210
urn:cite:phoros:payments.623,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.16,urn:cite:phoros:places.44,900
urn:cite:phoros:payments.624,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.17,urn:cite:phoros:places.52,9000
urn:cite:phoros:payments.625,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.18,urn:cite:phoros:places.109,900
urn:cite:phoros:payments.626,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.19,urn:cite:phoros:places.24,200
urn:cite:phoros:payments.627,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.20,urn:cite:phoros:places.118,450
urn:cite:phoros:payments.628,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.21,urn:cite:phoros:places.47,1800
urn:cite:phoros:payments.629,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.22,urn:cite:phoros:places.16,600
urn:cite:phoros:payments.630,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.23,urn:cite:phoros:places.125,300
urn:cite:phoros:payments.631,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.24,urn:cite:phoros:places.26,1200
urn:cite:phoros:payments.632,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.25,urn:cite:phoros:places.39,600
urn:cite:phoros:payments.633,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.26,urn:cite:phoros:places.64,300
urn:cite:phoros:payments.634,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.27,urn:cite:phoros:places.128,6000
urn:cite:phoros:payments.635,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.28,urn:cite:phoros:places.92,1200
urn:cite:phoros:payments.636,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.29,urn:cite:phoros:places.56,1800
urn:cite:phoros:payments.637,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.30,urn:cite:phoros:places.54,300
urn:cite:phoros:payments.638,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.31,urn:cite:phoros:places.112,9000
urn:cite:phoros:payments.639,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.32,urn:cite:phoros:places.58,500
urn:cite:phoros:payments.640,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.33,urn:cite:phoros:places.207,100
urn:cite:phoros:payments.641,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.34,urn:cite:phoros:places.148,30
urn:cite:phoros:payments.642,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.35,urn:cite:phoros:places.127,50
urn:cite:phoros:payments.643,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.36,urn:cite:phoros:places.196,98
urn:cite:phoros:payments.644,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.37,urn:cite:phoros:places.160,2196
urn:cite:phoros:payments.645,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.38,urn:cite:phoros:places.38,1800
urn:cite:phoros:payments.646,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.39,urn:cite:phoros:places.153,100
urn:cite:phoros:payments.647,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.40,urn:cite:phoros:places.208,720
urn:cite:phoros:payments.648,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.41,urn:cite:phoros:places.103,400
urn:cite:phoros:payments.649,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.42,urn:cite:phoros:places.93,3600
urn:cite:phoros:payments.650,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.43,urn:cite:phoros:places.55,2400
urn:cite:phoros:payments.651,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.44,urn:cite:phoros:places.51,300
urn:cite:phoros:payments.652,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.45,urn:cite:phoros:places.16,200
urn:cite:phoros:payments.653,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.46,urn:cite:phoros:places.209,100
urn:cite:phoros:payments.654,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.47,urn:cite:phoros:places.210,50
urn:cite:phoros:payments.655,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.48,urn:cite:phoros:places.72,100
urn:cite:phoros:payments.656,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.49,urn:cite:phoros:places.180,100
urn:cite:phoros:payments.657,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.50,urn:cite:phoros:places.161,120
urn:cite:phoros:payments.658,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.51,urn:cite:phoros:places.211,600
urn:cite:phoros:payments.659,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.52,urn:cite:phoros:places.27,1800
urn:cite:phoros:payments.660,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.53,urn:cite:phoros:places.130,100
urn:cite:phoros:payments.661,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.54,urn:cite:phoros:places.192,9720
urn:cite:phoros:payments.662,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.55,urn:cite:phoros:places.197,4000
urn:cite:phoros:payments.663,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.56,urn:cite:phoros:places.149,3000
urn:cite:phoros:payments.664,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.57,urn:cite:phoros:places.166,2400
urn:cite:phoros:payments.665,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.58,urn:cite:phoros:places.146,600
urn:cite:phoros:payments.666,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.59,urn:cite:phoros:places.95,360
urn:cite:phoros:payments.667,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.61,urn:cite:phoros:places.143,300
urn:cite:phoros:payments.668,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.62,urn:cite:phoros:places.190,1800
urn:cite:phoros:payments.669,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.63,urn:cite:phoros:places.152,3600
urn:cite:phoros:payments.670,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.64,urn:cite:phoros:places.145,3600
urn:cite:phoros:payments.671,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.65,urn:cite:phoros:places.114,900
urn:cite:phoros:payments.672,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.68,urn:cite:phoros:places.214,3600
urn:cite:phoros:payments.673,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.69,urn:cite:phoros:places.150,100
urn:cite:phoros:payments.674,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.70,urn:cite:phoros:places.191,1800
urn:cite:phoros:payments.675,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.71,urn:cite:phoros:places.13,7200
urn:cite:phoros:payments.676,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.73,urn:cite:phoros:places.42,100
urn:cite:phoros:payments.677,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.100,urn:cite:phoros:places.14,100
urn:cite:phoros:payments.678,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.101,urn:cite:phoros:places.13,2456
urn:cite:phoros:payments.679,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.102,urn:cite:phoros:places.160,216
urn:cite:phoros:payments.680,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.103,urn:cite:phoros:places.7,600
urn:cite:phoros:payments.681,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.104,urn:cite:phoros:places.98,300
urn:cite:phoros:payments.682,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.105,urn:cite:phoros:places.176,600
urn:cite:phoros:payments.683,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.106,urn:cite:phoros:places.217,250
urn:cite:phoros:payments.684,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.107,urn:cite:phoros:places.111,50
urn:cite:phoros:payments.685,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.108,urn:cite:phoros:places.107,216
urn:cite:phoros:payments.686,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.109,urn:cite:phoros:places.107,216
urn:cite:phoros:payments.687,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.110,urn:cite:phoros:places.198,200
urn:cite:phoros:payments.688,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.111,urn:cite:phoros:places.120,
urn:cite:phoros:payments.689,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.112,urn:cite:phoros:places.218,1626
urn:cite:phoros:payments.690,urn:cite:phoros:documents.stele1_year8,urn:cts:phoros:stele1.year8.hc:right.2.113,urn:cite:phoros:places.94,1064
urn:cite:phoros:payments.691,urn:cite:phoros:documents.stele1_year9,urn:cts:phoros:stele1.year9.hc:reverse.1.2,urn:cite:phoros:places.35,600
urn:cite:phoros:payments.692,urn:cite:phoros:documents.stele1_year9,urn:cts:phoros:stele1.year9.hc:reverse.1.3,urn:cite:phoros:places.97,100
urn:cite:phoros:payments.693,urn:cite:phoros:documents.stele1_year9,urn:cts:phoros:stele1.year9.hc:reverse.1.4,urn:cite:phoros:places.24,200
urn:cite:phoros:payments.694,urn:cite:phoros:documents.stele1_year9,urn:cts:phoros:stele1.year9.hc:reverse.1.6,urn:cite:phoros:places.44,900
urn:cite:phoros:payments.695,urn:cite:phoros:documents.stele1_year9,urn:cts:phoros:stele1.year9.hc:reverse.1.7,urn:cite:phoros:places.219,600
urn:cite:phoros:payments.696,urn:cite:phoros:documents.stele1_year9,urn:cts:phoros:stele1.year9.hc:reverse.1.8,urn:cite:phoros:places.11,100
