Payment,TextPassage
urn:cite:phoros:payrec.226,urn:cts:phoros:stele1.year:front.3.28
urn:cite:phoros:payrec.227,urn:cts:phoros:stele1.year:front.3.29
urn:cite:phoros:payrec.228,urn:cts:phoros:stele1.year:front.3.31
urn:cite:phoros:payrec.229,urn:cts:phoros:stele1.year:front.4.2
urn:cite:phoros:payrec.230,urn:cts:phoros:stele1.year:front.4.3
urn:cite:phoros:payrec.231,urn:cts:phoros:stele1.year:front.4.4
urn:cite:phoros:payrec.232,urn:cts:phoros:stele1.year:front.4.5
urn:cite:phoros:payrec.233,urn:cts:phoros:stele1.year:front.4.6
urn:cite:phoros:payrec.234,urn:cts:phoros:stele1.year:front.4.7
urn:cite:phoros:payrec.235,urn:cts:phoros:stele1.year:front.4.8
urn:cite:phoros:payrec.236,urn:cts:phoros:stele1.year:front.4.9
urn:cite:phoros:payrec.237,urn:cts:phoros:stele1.year:front.4.10
urn:cite:phoros:payrec.238,urn:cts:phoros:stele1.year:front.4.11
urn:cite:phoros:payrec.239,urn:cts:phoros:stele1.year:front.4.12
urn:cite:phoros:payrec.240,urn:cts:phoros:stele1.year:front.4.13
urn:cite:phoros:payrec.241,urn:cts:phoros:stele1.year:front.4.14
urn:cite:phoros:payrec.242,urn:cts:phoros:stele1.year:front.4.15
urn:cite:phoros:payrec.243,urn:cts:phoros:stele1.year:front.4.16
urn:cite:phoros:payrec.244,urn:cts:phoros:stele1.year:front.4.17
urn:cite:phoros:payrec.245,urn:cts:phoros:stele1.year:front.4.19
urn:cite:phoros:payrec.246,urn:cts:phoros:stele1.year:front.4.20
urn:cite:phoros:payrec.247,urn:cts:phoros:stele1.year:front.4.24
urn:cite:phoros:payrec.248,urn:cts:phoros:stele1.year:front.4.25
urn:cite:phoros:payrec.249,urn:cts:phoros:stele1.year:front.4.26
urn:cite:phoros:payrec.250,urn:cts:phoros:stele1.year:front.4.27
urn:cite:phoros:payrec.251,urn:cts:phoros:stele1.year:front.4.28
urn:cite:phoros:payrec.252,urn:cts:phoros:stele1.year:front.4.29
urn:cite:phoros:payrec.253,urn:cts:phoros:stele1.year:front.4.30
urn:cite:phoros:payrec.254,urn:cts:phoros:stele1.year:front.4.31
urn:cite:phoros:payrec.255,urn:cts:phoros:stele1.year:front.5.2
urn:cite:phoros:payrec.256,urn:cts:phoros:stele1.year:front.5.3
urn:cite:phoros:payrec.257,urn:cts:phoros:stele1.year:front.5.4
urn:cite:phoros:payrec.258,urn:cts:phoros:stele1.year:front.5.5
urn:cite:phoros:payrec.259,urn:cts:phoros:stele1.year:front.5.6
urn:cite:phoros:payrec.260,urn:cts:phoros:stele1.year:front.5.7
urn:cite:phoros:payrec.261,urn:cts:phoros:stele1.year:front.5.8
urn:cite:phoros:payrec.262,urn:cts:phoros:stele1.year:front.5.9
urn:cite:phoros:payrec.263,urn:cts:phoros:stele1.year:front.5.10
urn:cite:phoros:payrec.264,urn:cts:phoros:stele1.year:front.5.11
urn:cite:phoros:payrec.265,urn:cts:phoros:stele1.year:front.5.12
urn:cite:phoros:payrec.266,urn:cts:phoros:stele1.year:front.5.13
urn:cite:phoros:payrec.267,urn:cts:phoros:stele1.year:front.5.14
urn:cite:phoros:payrec.268,urn:cts:phoros:stele1.year:front.5.15
urn:cite:phoros:payrec.269,urn:cts:phoros:stele1.year:front.5.16
