StoneURN,ImgURN
urn:cite:phoros:stones.atl125,"urn:cite:shotimg:atl.ATL001@0.2162,0.5705,0.029,0.0235"
urn:cite:phoros:stones.atl135,"urn:cite:shotimg:atl.ATL001@0.3053,0.6334,0.028,0.0327"
urn:cite:phoros:stones.atl139,"urn:cite:shotimg:atl.ATL001@0.1512,0.6753,0.1441,0.0772"
urn:cite:phoros:stones.atl162,"urn:cite:shotimg:atl.ATL001@0.3994,0.3272,0.032,0.0285"
urn:cite:phoros:stones105,"urn:cite:shotimg:atl.ATL001@0.3013,0.2827,0.1201,0.1158"
urn:cite:phoros:stones.atl171,"urn:cite:shotimg:atl.ATL001@0.3904,0.4455,0.0591,0.0537"
urn:cite:phoros:stones.atl106,"urn:cite:shotimg:atl.ATL001@0.1151,0.3784,0.04,0.0461"
urn:cite:phoros:stones.atl115,"urn:cite:shotimg:atl.ATL001@0.2943,0.4656,0.029,0.0604"
urn:cite:phoros:stones.atl167,"urn:cite:shotimg:atl.ATL001@0.4074,0.3574,0.032,0.0277"
urn:cite:phoros:stones.atl156,"urn:cite:shotimg:atl.ATL001@0.3984,0.8381,0.024,0.0285"
urn:cite:phoros:stones.atl21,"urn:cite:shotimg:atl.ATL001@0.5215,0.3456,0.0511,0.0403"
urn:cite:phoros:stones.atl33,"urn:cite:shotimg:atl.ATL001@0.6076,0.448,0.026,0.0302"
urn:cite:phoros:stones.atl58,"urn:cite:shotimg:atl.ATL001@0.5395,0.6804,0.041,0.0512"
urn:cite:phoros:stones.atl103,"urn:cite:shotimg:atl.ATL001@0.2553,0.2676,0.0601,0.0461"
urn:cite:phoros:stones.atl123,"urn:cite:shotimg:atl.ATL001@0.1632,0.5159,0.043,0.0545"
urn:cite:phoros:stones.atl150,"urn:cite:shotimg:atl.ATL001@0.0651,0.7961,0.025,0.0268"
urn:cite:phoros:stones.atl152,"urn:cite:shotimg:atl.ATL001@0.1582,0.7492,0.1341,0.094"
urn:cite:phoros:stones.atl94,"urn:cite:shotimg:atl.ATL001@0.3303,0.0688,0.0941,0.0705"
urn:cite:phoros:stones.atl159,"urn:cite:shotimg:atl.ATL001@0.4204,0.2164,0.0741,0.0596"
urn:cite:phoros:stones.atl166,"urn:cite:shotimg:atl.ATL001@0.4575,0.344,0.018,0.021"
urn:cite:phoros:stones.atl40,"urn:cite:shotimg:atl.ATL001@0.3433,0.6795,0.025,0.0336"
urn:cite:phoros:stones.atl27,"urn:cite:shotimg:atl.ATL001@0.4565,0.4329,0.1051,0.0394"
urn:cite:phoros:stones.atl41,"urn:cite:shotimg:atl.ATL001@0.3574,0.6779,0.041,0.0361"
urn:cite:phoros:stones.atl180,"urn:cite:shotimg:atl.ATL001@0.4114,0.8372,0.0531,0.0461"
urn:cite:phoros:stones.atl26,"urn:cite:shotimg:atl.ATL001@0.4535,0.3767,0.1221,0.0856"
urn:cite:phoros:stones.atl60,"urn:cite:shotimg:atl.ATL001@0.4875,0.7517,0.037,0.0302"
urn:cite:phoros:stones.atl57,"urn:cite:shotimg:atl.ATL001@0.3884,0.6628,0.1061,0.0738"
urn:cite:phoros:stones.atl7,"urn:cite:shotimg:atl.ATL001@0.4244,0.1149,0.1341,0.094"
urn:cite:phoros:stones.atl19,"urn:cite:shotimg:atl.ATL001@0.5005,0.3473,0.048,0.0218"
urn:cite:phoros:stones.atl29,"urn:cite:shotimg:atl.ATL001@0.4364,0.4312,0.1812,0.1409"
urn:cite:phoros:stones.atl20,"urn:cite:shotimg:atl.ATL001@0.4805,0.3565,0.0521,0.0285"
urn:cite:phoros:stones.atl62,"urn:cite:shotimg:atl.ATL001@0.5275,0.7735,0.0501,0.0503"
urn:cite:phoros:stones.atl31,"urn:cite:shotimg:atl.ATL001@0.5455,0.4471,0.0691,0.0336"
urn:cite:phoros:stones.atl2,"urn:cite:shotimg:atl.ATL001@0.6456,0.052,0.031,0.0294"
urn:cite:phoros:stones.atl77,"urn:cite:shotimg:atl.ATL001@0.8939,0.2232,0.0531,0.0738"
urn:cite:phoros:stones.atl80,"urn:cite:shotimg:atl.ATL001@0.8919,0.3423,0.0581,0.0638"
urn:cite:phoros:stones.atl82,"urn:cite:shotimg:atl.ATL001@0.8719,0.4346,0.044,0.0654"
urn:cite:phoros:stones.atl85,"urn:cite:shotimg:atl.ATL001@0.9229,0.6065,0.0571,0.0562"
urn:cite:phoros:stones.atl64,"urn:cite:shotimg:atl.ATL001@0.5926,0.7676,0.0551,0.0604"
urn:cite:phoros:stones.atl68,"urn:cite:shotimg:atl.ATL001@0.6747,0.7945,0.048,0.0235"
urn:cite:phoros:stones.atl75,"urn:cite:shotimg:atl.ATL001@0.7988,0.7399,0.0551,0.0889"
urn:cite:phoros:stones.atl72,"urn:cite:shotimg:atl.ATL001@0.7467,0.8163,0.048,0.0554"
urn:cite:phoros:stones.atl77,"urn:cite:shotimg:atl.ATL001@0.8899,0.2223,0.0521,0.0738"
urn:cite:phoros:stones.atl3,"urn:cite:shotimg:atl.ATL001@0.6777,0.0059,0.1001,0.0864"
urn:cite:phoros:Stones.atl80,"urn:cite:shotimg:atl.ATL001@0.8919,0.3414,0.0571,0.0654"
urn:cite:phoros:stones.atl47,"urn:cite:shotimg:atl.ATL001@0.6517,0.6216,0.035,0.0604"
urn:cite:phoros:stones.atlb4,"urn:cite:shotimg:atl.ATLpl16@0.3654,0.0163,0.0771,0.1953"
urn:cite:phoros:stones.atlb14,"urn:cite:shotimg:atl.ATLpl16@0.8068,0.0148,0.1491,0.1805"
urn:cite:phoros:stones.atlb18,"urn:cite:shotimg:atl.ATLpl16@0.8498,0.2766,0.0521,0.1405"
urn:cite:phoros:stones.atlb27,"urn:cite:shotimg:atl.ATLpl16@0.8148,0.4231,0.022,0.0311"
urn:cite:phoros:stones.atlb34,"urn:cite:shotimg:atl.ATLpl16@0.8539,0.3787,0.0601,0.0444"
urn:cite:phoros:stones.atlb38,"urn:cite:shotimg:atl.ATLpl16@0.8559,0.4423,0.031,0.0562"
urn:cite:phoros:stones.atlb47,"urn:cite:shotimg:atl.ATLpl16@0.8268,0.4438,0.0771,0.0976"
urn:cite:phoros:stones.atlb43,"urn:cite:shotimg:atl.ATLpl16@0.8098,0.4793,0.022,0.0444"
urn:cite:phoros:stones.atl4,"urn:cite:shotimg:atl.ATL001@0.7588,0.0126,0.1321,0.0872"
urn:cite:phoros:stones.atl36,"urn:cite:shotimg:atl.ATL001@0.6326,0.4052,0.0591,0.0503"
urn:cite:phoros:stones.atl83,"urn:cite:shotimg:atl.ATL001@0.9409,0.474,0.041,0.0453"
urn:cite:phoros:stones.atl86,"urn:cite:shotimg:atl.ATL001@0.8999,0.6535,0.0521,0.0252"
urn:cite:phoros:stones.atl65,"urn:cite:shotimg:atl.ATL001@0.5896,0.8196,0.027,0.0621"
urn:cite:phoros:stones.atl70,"urn:cite:shotimg:atl.ATL001@0.6987,0.7139,0.1091,0.0906"
urn:cite:phoros:stones.atl75,"urn:cite:shotimg:atl.ATL001@0.8569,0.7257,0.0661,0.104"
urn:cite:phoros:stones.atl76,"urn:cite:shotimg:atl.ATL001@0.7738,0.8339,0.1151,0.078"
urn:cite:phoros:stones.atl140,"urn:cite:shotimg:atl.ATL001@0.3433,0.6787,0.026,0.0319"
urn:cite:phoros:stones.atl5,"urn:cite:shotimg:atl.ATL001@0.8859,0.0344,0.041,0.0369"
urn:cite:phoros:stones.atl37,"urn:cite:shotimg:atl.ATL001@0.6657,0.4136,0.0501,0.0487"
urn:cite:phoros:stones.atl42,"urn:cite:shotimg:atl.ATL001@0.8118,0.4908,0.043,0.0294"
urn:cite:phoros:stones.atl6,"urn:cite:shotimg:atl.ATL001@0.5926,0.0814,0.1461,0.0612"
urn:cite:phoros:stones.atl38,"urn:cite:shotimg:atl.ATL001@0.7087,0.4304,0.038,0.0428"
urn:cite:phoros:stones.atl138,"urn:cite:shotimg:atl.ATL001@0.0981,0.6787,0.0641,0.0856"
urn:cite:phoros:stones.atl54,"urn:cite:shotimg:atl.ATL001@0.6827,0.6544,0.0751,0.0772"
urn:cite:phoros:stones.atl9,"urn:cite:shotimg:atl.ATL001@0.6567,0.1812,0.0871,0.0461"
urn:cite:phoros:stones.atl17,"urn:cite:shotimg:atl.ATL001@0.6817,0.2911,0.0921,0.0948"
