urn:cts:phoros:stele1.year1:front.6.11,urn:cite:phoros:stones.atl4
urn:cts:phoros:stele1.year1:front.6.12,urn:cite:phoros:stones.atl4
urn:cts:phoros:stele1.year1:front.6.13,urn:cite:phoros:stones.atl4
urn:cts:phoros:stele1.year1:front.6.14,urn:cite:phoros:stones.atl4
urn:cts:phoros:stele1.year1:front.6.15,urn:cite:phoros:stones.atl4
urn:cts:phoros:stele1.year1:front.6.16,urn:cite:phoros:stones.atl4
urn:cts:phoros:stele1.year1:front.6.17,urn:cite:phoros:stones.atl4
urn:cts:phoros:stele1.year1:front.6.18,urn:cite:phoros:stones.atl4
urn:cts:phoros:stele1.year1:front.6.19,urn:cite:phoros:stones.atl4
urn:cts:phoros:stele1.year1:front.6.20,urn:cite:phoros:stones.atl4
urn:cts:phoros:stele1.year1:front.6.21,urn:cite:phoros:stones.atl4
urn:cts:phoros:stele1.year1:front.6.22,urn:cite:phoros:stones.atl4
urn:cts:phoros:stele1.year1:front.6.5,urn:cite:phoros:stones.atl4
urn:cts:phoros:stele1.year1:front.6.6,urn:cite:phoros:stones.atl4
urn:cts:phoros:stele1.year1:front.6.7,urn:cite:phoros:stones.atl4
urn:cts:phoros:stele1.year1:front.6.9,urn:cite:phoros:stones.atl4
urn:cts:phoros:stele1.year1:front.header.1,urn:cite:phoros:stones.atl1
urn:cts:phoros:stele1.year1:front.header.1,urn:cite:phoros:stones.atl3
urn:cts:phoros:stele1.year1:front.header.1,urn:cite:phoros:stones.atl4
urn:cts:phoros:stele1.year1:front.header.2,urn:cite:phoros:stones.atl3
urn:cts:phoros:stele1.year1:front.header.2,urn:cite:phoros:stones.atl4
urn:cts:phoros:stele1.year1:front.header.3,urn:cite:phoros:stones.atl3
urn:cts:phoros:stele1.year1:front.header.3,urn:cite:phoros:stones.atl4
urn:cts:phoros:stele1.year1:right.postscript.10,urn:cite:phoros:stones.atl4
urn:cts:phoros:stele1.year1:right.postscript.10,urn:cite:phoros:stones.atl5
urn:cts:phoros:stele1.year1:right.postscript.11,urn:cite:phoros:stones.atl4
urn:cts:phoros:stele1.year1:right.postscript.11,urn:cite:phoros:stones.atl5
urn:cts:phoros:stele1.year1:right.postscript.12,urn:cite:phoros:stones.atl4
urn:cts:phoros:stele1.year1:right.postscript.13,urn:cite:phoros:stones.atl4
urn:cts:phoros:stele1.year1:right.postscript.6,urn:cite:phoros:stones.atl5
urn:cts:phoros:stele1.year1:right.postscript.7,urn:cite:phoros:stones.atl5
urn:cts:phoros:stele1.year1:right.postscript.8,urn:cite:phoros:stones.atl4
urn:cts:phoros:stele1.year1:right.postscript.8,urn:cite:phoros:stones.atl5
urn:cts:phoros:stele1.year1:right.postscript.9,urn:cite:phoros:stones.atl4
urn:cts:phoros:stele1.year1:right.postscript.9,urn:cite:phoros:stones.atl5
urn:cts:phoros:stele1.year2:.1.11,urn:cite:phoros:stones.atl7
urn:cts:phoros:stele1.year2:.1.12,urn:cite:phoros:stones.atl7
urn:cts:phoros:stele1.year2:.1.13,urn:cite:phoros:stones.atl7
urn:cts:phoros:stele1.year2:.1.14,urn:cite:phoros:stones.atl7
urn:cts:phoros:stele1.year2:.1.15,urn:cite:phoros:stones.atl7
urn:cts:phoros:stele1.year2:.1.16,urn:cite:phoros:stones.atl7
urn:cts:phoros:stele1.year2:.1.17,urn:cite:phoros:stones.atl7
urn:cts:phoros:stele1.year2:.1.17,urn:cite:phoros:stones.atl8
urn:cts:phoros:stele1.year2:.1.18,urn:cite:phoros:stones.atl7
urn:cts:phoros:stele1.year2:.1.18,urn:cite:phoros:stones.atl8
urn:cts:phoros:stele1.year2:.2.2,urn:cite:phoros:stones.atl6
