"site","name","year","obols","txt","change","sequence","payrecord"
"urn:cite:phoros:places.65","Keramos","3","900","urn:cts:phoros:stele1.year3.hc1:front.1.3","same","3","urn:cite:phoros:payrec.179"
"urn:cite:phoros:places.71","Mydon","3","150","urn:cts:phoros:stele1.year3.hc1:front.1.4","same","4","urn:cite:phoros:payrec.180"
"urn:cite:phoros:places.107","Tenedos","3","2700","urn:cts:phoros:stele1.year3.hc1:front.1.5","same","5","urn:cite:phoros:payrec.181"
"urn:cite:phoros:places.40","Palepsos","3","900","urn:cts:phoros:stele1.year3.hc1:front.1.6","same","6","urn:cite:phoros:payrec.182"
"urn:cite:phoros:places.108","Pentinos","3","50","urn:cts:phoros:stele1.year3.hc1:front.1.7","same","7","urn:cite:phoros:payrec.183"
"urn:cite:phoros:places.47","Phaselis","3","3600","urn:cts:phoros:stele1.year3.hc1:front.1.8","same","8","urn:cite:phoros:payrec.184"
"urn:cite:phoros:places.109","Kalymna","3","900","urn:cts:phoros:stele1.year3.hc1:front.1.9","same","9","urn:cite:phoros:payrec.185"
"urn:cite:phoros:places.44","Klazomenia","3","900","urn:cts:phoros:stele1.year3.hc1:front.1.10","same","10","urn:cite:phoros:payrec.186"
"urn:cite:phoros:places.64","Kedriai","3","300","urn:cts:phoros:stele1.year3.hc1:front.1.11","same","11","urn:cite:phoros:payrec.187"
"urn:cite:phoros:places.77","Ios","3","600","urn:cts:phoros:stele1.year3.hc1:front.1.12","same","12","urn:cite:phoros:payrec.188"
"urn:cite:phoros:places.73","Artake","3","200","urn:cts:phoros:stele1.year3.hc1:front.1.13","same","13","urn:cite:phoros:payrec.189"
"urn:cite:phoros:places.51","Dikaia by Abdera","3","300","urn:cts:phoros:stele1.year3.hc1:front.1.14","same","14","urn:cite:phoros:payrec.190"
"urn:cite:phoros:places.92","Astypalaia","3","1200","urn:cts:phoros:stele1.year3.hc1:front.1.16","same","16","urn:cite:phoros:payrec.192"
"urn:cite:phoros:places.111","Karyanda","3","100","urn:cts:phoros:stele1.year3.hc1:front.1.30","same","19","urn:cite:phoros:payrec.195"
"urn:cite:phoros:places.7","Madnasa/Medmassa","3","1200","urn:cts:phoros:stele1.year3.hc1:front.1.31","same","20","urn:cite:phoros:payrec.196"
"urn:cite:phoros:places.112","Mende","3","4800","urn:cts:phoros:stele1.year3.hc1:front.2.4","same","24","urn:cite:phoros:payrec.200"
"urn:cite:phoros:places.113","Kampsa","3","100","urn:cts:phoros:stele1.year3.hc1:front.2.5","same","25","urn:cite:phoros:payrec.201"
"urn:cite:phoros:places.114","Mykonos","3","900","urn:cts:phoros:stele1.year3.hc1:front.2.6","same","26","urn:cite:phoros:payrec.202"
"urn:cite:phoros:places.9","Skione","3","3600","urn:cts:phoros:stele1.year3.hc1:front.2.7","same","27","urn:cite:phoros:payrec.203"
"urn:cite:phoros:places.32","Maroneia","3","900","urn:cts:phoros:stele1.year3.hc1:front.2.10","same","30","urn:cite:phoros:payrec.206"
"urn:cite:phoros:places.93","Samothraki","3","4800","urn:cts:phoros:stele1.year3.hc1:front.2.11","up","31","urn:cite:phoros:payrec.207"
"urn:cite:phoros:places.99","Latmos","3","600","urn:cts:phoros:stele1.year3.hc1:front.2.28","same","33","urn:cite:phoros:payrec.209"
"urn:cite:phoros:places.119","Myous","3","900","urn:cts:phoros:stele1.year3.hc1:front.2.29","same","34","urn:cite:phoros:payrec.210"
"urn:cite:phoros:places.18","Chersonese","3","1080","urn:cts:phoros:stele1.year3.hc1:front.2.30","down","35","urn:cite:phoros:payrec.211"
"urn:cite:phoros:places.75","Berytis below Mt. Ida","3","100","urn:cts:phoros:stele1.year3.hc1:front.2.31","same","36","urn:cite:phoros:payrec.212"
"urn:cite:phoros:places.3","Elaia","3","100","urn:cts:phoros:stele1.year3.hc1:front.3.3","same","38","urn:cite:phoros:payrec.214"
"urn:cite:phoros:places.22","Peparethos","3","1800","urn:cts:phoros:stele1.year3.hc1:front.3.4","same","39","urn:cite:phoros:payrec.215"
"urn:cite:phoros:places.36","Neandreia","3","200","urn:cts:phoros:stele1.year3.hc1:front.3.5","down","40","urn:cite:phoros:payrec.216"
"urn:cite:phoros:places.120","Myrina","3","600","urn:cts:phoros:stele1.year3.hc1:front.3.6","same","41","urn:cite:phoros:payrec.217"
"urn:cite:phoros:places.38","Halikarnassos","3","1000","urn:cts:phoros:stele1.year3.hc1:front.3.7","same","42","urn:cite:phoros:payrec.218"
"urn:cite:phoros:places.67","Kyllandos","3","1200","urn:cts:phoros:stele1.year3.hc1:front.3.8","same","43","urn:cite:phoros:payrec.219"
"urn:cite:phoros:places.41","Kyrbissos","3","200","urn:cts:phoros:stele1.year3.hc1:front.3.9","same","44","urn:cite:phoros:payrec.220"
"urn:cite:phoros:places.79","Daskyleion in Propontidi","3","50","urn:cts:phoros:stele1.year3.hc1:front.3.11","same","46","urn:cite:phoros:payrec.222"
"urn:cite:phoros:places.121","Athenai Diades","3","200","urn:cts:phoros:stele1.year3.hc1:front.3.25","same","48","urn:cite:phoros:payrec.224"
"urn:cite:phoros:places.28","Lindos Oiai","3","330","urn:cts:phoros:stele1.year3.hc1:front.3.26","same","49","urn:cite:phoros:payrec.225"
"urn:cite:phoros:places.76","Auliataι Kares","3","50","urn:cts:phoros:stele1.year3.hc1:front.3.29","same","51","urn:cite:phoros:payrec.227"
"urn:cite:phoros:places.123","Perkote","3","100","urn:cts:phoros:stele1.year3.hc1:front.3.31","same","52","urn:cite:phoros:payrec.228"
"urn:cite:phoros:places.5","Ainos","3","7200","urn:cts:phoros:stele1.year3.hc1:front.4.2","same","53","urn:cite:phoros:payrec.229"
"urn:cite:phoros:places.124","Nisyros","3","900","urn:cts:phoros:stele1.year3.hc1:front.4.3","same","54","urn:cite:phoros:payrec.230"
"urn:cite:phoros:places.31","Maiandros","3","400","urn:cts:phoros:stele1.year3.hc1:front.4.4","same","55","urn:cite:phoros:payrec.231"
"urn:cite:phoros:places.12","Thyssos","3","400","urn:cts:phoros:stele1.year3.hc1:front.4.6","same","57","urn:cite:phoros:payrec.233"
"urn:cite:phoros:places.125","Knidos","3","1800","urn:cts:phoros:stele1.year3.hc1:front.4.7","same","58","urn:cite:phoros:payrec.234"
"urn:cite:phoros:places.18","Chersonese","3","1800","urn:cts:phoros:stele1.year3.hc1:front.4.8","up","59","urn:cite:phoros:payrec.235"
"urn:cite:phoros:places.126","Pyrnos","3","100","urn:cts:phoros:stele1.year3.hc1:front.4.9","same","60","urn:cite:phoros:payrec.236"
"urn:cite:phoros:places.127","Priapos","3","50","urn:cts:phoros:stele1.year3.hc1:front.4.10","same","61","urn:cite:phoros:payrec.237"
"urn:cite:phoros:places.20","Kameiros","3","5400","urn:cts:phoros:stele1.year3.hc1:front.4.11","same","62","urn:cite:phoros:payrec.238"
"urn:cite:phoros:places.128","Ialysos","3","6000","urn:cts:phoros:stele1.year3.hc1:front.4.12","same","63","urn:cite:phoros:payrec.239"
"urn:cite:phoros:places.133","Berge","3","5070","urn:cts:phoros:stele1.year3.hc1:front.4.13","same","64","urn:cite:phoros:payrec.240"
"urn:cite:phoros:places.50","Kasolaba","3","250","urn:cts:phoros:stele1.year3.hc1:front.4.20","same","70","urn:cite:phoros:payrec.246"
"urn:cite:phoros:places.83","Lepsimandos","3","150","urn:cts:phoros:stele1.year3.hc1:front.4.24","up","71","urn:cite:phoros:payrec.247"
"urn:cite:phoros:places.26","Spartolos","3","1200","urn:cts:phoros:stele1.year3.hc1:front.4.25","same","72","urn:cite:phoros:payrec.248"
"urn:cite:phoros:places.131","Skepsis","3","600","urn:cts:phoros:stele1.year3.hc1:front.4.26","same","73","urn:cite:phoros:payrec.249"
"urn:cite:phoros:places.132","Azeia","3","40","urn:cts:phoros:stele1.year3.hc1:front.4.27","same","74","urn:cite:phoros:payrec.250"
"urn:cite:phoros:places.133","Berge","3","288","urn:cts:phoros:stele1.year3.hc1:front.4.28","down","75","urn:cite:phoros:payrec.251"
"urn:cite:phoros:places.134","Tyrodiza","3","100","urn:cts:phoros:stele1.year3.hc1:front.4.29","same","76","urn:cite:phoros:payrec.252"
"urn:cite:phoros:places.135","Syros","3","150","urn:cts:phoros:stele1.year3.hc1:front.4.30","same","77","urn:cite:phoros:payrec.253"
"urn:cite:phoros:places.136","Kyme","3","7200","urn:cts:phoros:stele1.year3.hc1:front.4.31","same","78","urn:cite:phoros:payrec.254"
"urn:cite:phoros:places.137","Perinthos","3","100","urn:cts:phoros:stele1.year3.hc1:front.5.2","same","79","urn:cite:phoros:payrec.255"
"urn:cite:phoros:places.138","Phokaia","3","1800","urn:cts:phoros:stele1.year3.hc1:front.5.3","same","80","urn:cite:phoros:payrec.256"
"urn:cite:phoros:places.80","Aigina","3","18000","urn:cts:phoros:stele1.year3.hc1:front.5.4","same","81","urn:cite:phoros:payrec.257"
"urn:cite:phoros:places.8","Therma in Ikaros","3","50","urn:cts:phoros:stele1.year3.hc1:front.5.5","same","82","urn:cite:phoros:payrec.258"
"urn:cite:phoros:places.6","Naxia","3","100","urn:cts:phoros:stele1.year3.hc1:front.5.7","same","84","urn:cite:phoros:payrec.260"
"urn:cite:phoros:places.48","Termera","3","1500","urn:cts:phoros:stele1.year3.hc1:front.5.8","same","85","urn:cite:phoros:payrec.261"
"urn:cite:phoros:places.23","Kolophon","3","1800","urn:cts:phoros:stele1.year3.hc1:front.5.9","same","86","urn:cite:phoros:payrec.262"
"urn:cite:phoros:places.24","Notion","3","100","urn:cts:phoros:stele1.year3.hc1:front.5.10","down","87","urn:cite:phoros:payrec.263"
"urn:cite:phoros:places.17","Sambaktos","3","600","urn:cts:phoros:stele1.year3.hc1:front.5.11","same","88","urn:cite:phoros:payrec.264"
"urn:cite:phoros:places.4","Ephesos","3","4500","urn:cts:phoros:stele1.year3.hc1:front.5.12","same","89","urn:cite:phoros:payrec.265"
"urn:cite:phoros:places.46","Karbasyanda","3","100","urn:cts:phoros:stele1.year3.hc1:front.5.13","same","90","urn:cite:phoros:payrec.266"
"urn:cite:phoros:places.110","Kaunos","3","300","urn:cts:phoros:stele1.year3.hc1:front.5.14","same","91","urn:cite:phoros:payrec.267"
"urn:cite:phoros:places.21","Krya","3","200","urn:cts:phoros:stele1.year3.hc1:front.5.15","same","92","urn:cite:phoros:payrec.268"
"urn:cite:phoros:places.52","Abdera","3","9000","urn:cts:phoros:stele1.year3.hc1:front.5.16","up","93","urn:cite:phoros:payrec.269"
"urn:cite:phoros:places.96","Myndos","3","50","urn:cts:phoros:stele1.year3.hc1:front.5.17","same","94","urn:cite:phoros:payrec.270"
"urn:cite:phoros:places.115","Kalchedon","3","4501","urn:cts:phoros:stele1.year3.hc1:front.5.18","same","95","urn:cite:phoros:payrec.271"
